Minisector,RIC,VET,Fastest
0,261.3164120054422,269.34226224761903,VET
1,134.02802911913852,133.1527647233081,RIC
2,194.0853781879604,191.74279074716725,RIC
3,242.61696396190476,247.03536189077036,VET
4,254.19356485612244,265.2666948601117,VET
5,170.7736026767033,180.46834909358407,VET
6,143.24121535239988,142.50968577079524,RIC
7,184.94261758899006,181.0497347403224,RIC
8,101.6213110836332,100.61759170747017,RIC
9,77.40151233630291,74.36996825064884,RIC
10,97.61694411182772,95.46371963040743,RIC
11,180.87424048039966,181.92329139392183,VET
12,241.78093097384647,247.04879564949584,VET
13,265.33571405714287,272.8769234871795,VET
14,276.31039059231216,283.1026425143197,VET
15,123.45754444937809,110.37578858168699,RIC
16,136.19045034392076,153.2488032711783,VET
17,188.82459208822056,187.9868729736597,RIC
18,195.63822846730417,201.02392735666794,VET
19,215.04879122170126,217.8919253355186,VET
20,136.21991470579263,130.69709168746593,RIC
21,121.20984361151805,108.55516703931916,RIC
22,92.87273681813069,96.77236111989163,VET
23,190.37708432592592,201.7860323764706,VET
24,244.14918304676894,253.47142738864147,VET
25,259.38,,RIC
