Minisector,PIA,RUS,Fastest
0,306.82790415157893,311.2719200969697,RUS
1,202.38621319717421,201.77648632141526,PIA
2,146.16713702538397,147.3931691040426,RUS
3,223.8063662509317,228.20292337692348,RUS
4,168.73171074760288,162.86281977253086,PIA
5,186.5317798873397,180.15080328912626,PIA
6,254.04752800504426,252.9667665497643,PIA
7,278.08694067221154,280.01530919570064,RUS
8,287.6247796001411,287.5920824330829,PIA
9,255.32314972825645,260.7493635967777,RUS
10,234.69154256699417,243.77715733192244,RUS
11,236.31738694209525,241.5699721847619,RUS
12,197.72000278479788,199.70958546746775,RUS
13,131.4716307074533,129.4296896473932,PIA
14,137.94550059837957,138.94429002910144,RUS
15,172.06649278538353,180.0384965182919,RUS
16,246.1549465748687,251.1252670141302,RUS
17,243.25556197417177,237.9131778926682,PIA
18,115.91444538541265,114.65131979963786,PIA
19,197.16452986809819,203.0182491442104,RUS
20,206.49178074048308,200.8923956348813,PIA
21,234.6361764144773,240.87157765239766,RUS
22,264.3474545183174,267.6297975792876,RUS
23,286.40722024515406,286.75822154661216,RUS
24,300.24259632924293,301.79655286809526,RUS
