Minisector,RUS,GAS,Fastest
0,294.71142437034933,294.08921079780663,RUS
1,225.4197126359158,234.41540364811286,GAS
2,133.25981894550094,132.15835970696827,RUS
3,230.33818594207975,237.62605079034628,GAS
4,195.88259729858282,182.67757015896973,RUS
5,241.59783793021646,235.1677275081204,RUS
6,221.15281989003594,221.72988086830944,GAS
7,255.85642837438422,244.6228171238095,RUS
8,283.0211134130444,281.39508684384,RUS
9,199.68144146501936,206.88509996396397,GAS
10,207.69936852236103,196.31486035151795,RUS
11,270.51366537784554,266.65530739149204,RUS
12,210.2162084302793,207.74923878308243,RUS
13,249.50412162520723,243.4005636569677,RUS
14,288.8859754100709,285.64152654374607,RUS
15,301.34270461404293,301.2581709166249,RUS
16,296.1609347606734,302.06581736,GAS
17,229.3367944384549,230.80399852536178,GAS
18,267.2417571088254,264.4864748799487,RUS
19,292.2636408743896,291.58606406965987,RUS
20,304.2599346284948,304.4185231220897,GAS
21,299.8331331168831,305.1056953047895,GAS
22,148.66853651531434,152.27161598035158,GAS
23,230.3116445189896,229.14414014008332,RUS
24,279.790480255961,278.42957771804447,RUS
25,289.07083413333334,,RUS
