Minisector,SAI,VET,Fastest
0,153.10802502472592,175.53353112380952,VET
1,160.8668855692389,235.68676618338978,VET
2,159.1287259753328,277.36848330263257,VET
3,114.13659698908819,298.35173555555554,VET
4,139.84583344197532,313.58371166060607,VET
5,133.48295350213922,292.3497206381192,VET
6,105.97732381134762,147.3661040171444,VET
7,176.40398437575433,184.32728986666666,VET
8,210.59467787114846,251.16194969976848,VET
9,125.88575875725729,285.0526677637789,VET
10,139.84532967032968,300.3083327179487,VET
11,217.01922649190584,310.8594693818182,VET
12,249.0182910258658,316.8091949022863,VET
13,263.8357142857143,282.89327983589743,VET
14,272.32472527472527,93.51655391030516,SAI
15,276.5333334153846,141.24320738787938,SAI
16,228.48677226666666,233.7197896,VET
17,81.01758103362637,280.0949392,VET
18,107.87289229192135,301.8270765774329,VET
19,174.3656431206256,313.3298221023044,VET
20,175.8804711256236,278.8261958095238,VET
21,176.7106575963719,110.08299439061545,SAI
22,159.40107749660277,159.98137816286257,VET
23,171.83465847272726,236.45166570666666,VET
24,116.16138697943556,261.73818037551024,VET
25,,197.79732289287915,VET
26,,164.6749990787879,VET
27,,225.0794107607843,VET
28,,199.31263370013508,VET
29,,208.13751589545058,VET
30,,246.68214202920635,VET
31,,271.2764064527015,VET
32,,285.4547154989011,VET
33,,293.5880208888889,VET
34,,252.5719475911111,VET
35,,212.34166655999996,VET
