Minisector,NOR,RUS,Fastest
0,276.7919076738047,277.9330932276543,RUS
1,304.9420166385331,303.36295900734694,NOR
2,326.828500288,315.944142934026,NOR
3,337.64786259369316,323.6873304302155,NOR
4,342.8985161717223,326.20944041295235,NOR
5,332.93226994285715,329.22949406476187,NOR
6,199.20517228281903,216.94274410075175,RUS
7,104.99104154798648,108.39503603486546,RUS
8,184.7313488740736,187.14548086896724,RUS
9,265.0740521592053,260.48410088513344,NOR
10,296.8272424242017,290.4020832,NOR
11,174.6294152588297,169.79698887660987,NOR
12,94.19385986891909,98.4643065312808,RUS
13,113.74860598104249,115.87078917688316,RUS
14,219.49370758023755,221.08059703161905,RUS
15,187.55972817299443,192.00614687668735,RUS
16,216.14825559706287,225.87767040720064,RUS
17,177.1368171376837,182.41598161807082,RUS
18,241.12307072593526,238.0354766659612,NOR
19,279.12743056911296,278.3252774044444,NOR
20,240.69177118423744,256.4782434053133,RUS
21,147.56759118032193,152.24302301323675,RUS
22,96.67633837765844,97.26550360674523,RUS
23,124.56959279406766,124.53897578615998,NOR
24,233.48297097396065,223.12110143833445,NOR
25,,257.68181818181813,RUS
