Minisector,SAI,HUL,Fastest
0,253.42755269604297,258.90984842256256,HUL
1,281.7495257109719,295.01342259809525,HUL
2,160.82214001935037,162.80986946831015,HUL
3,165.57534289120318,171.18014782745098,HUL
4,261.1453072847153,262.40258865094154,HUL
5,267.0447833748613,269.4375001212121,HUL
6,202.67508041705022,218.90134965423482,HUL
7,190.41998216830802,193.506921944086,HUL
8,153.15033035218158,150.61500901070752,SAI
9,228.894091381685,220.62326559783313,SAI
10,278.9718816362812,277.7781464671202,SAI
11,120.30669460307638,122.0479226634298,HUL
12,219.09893953580246,223.8744152914982,HUL
13,273.58027412930585,283.96916704,HUL
14,289.8814581866667,311.62750673483714,HUL
15,295.5391665066667,319.8396930245614,HUL
16,215.7628017142857,236.15366519466667,HUL
17,131.77939253050496,135.9851789616393,HUL
18,132.91885292440435,137.466724684664,HUL
19,120.90350894603175,126.14689916720575,HUL
20,222.96730728205128,227.25172280888887,HUL
21,248.56114450389526,252.9006418672226,HUL
22,221.12019347692305,235.19745463815474,HUL
23,210.03586416868035,218.2556835427463,HUL
24,141.7986455858169,143.3059442001313,HUL
25,225.11428205714287,223.8,SAI
