Minisector,NOR,HUL,Fastest
0,253.10451822248342,254.53630235667583,HUL
1,218.06458803960365,209.12735745952702,NOR
2,212.8159034983492,204.22479793323024,NOR
3,263.1110624171683,260.42943606530616,NOR
4,276.4769380849879,269.09713084803593,NOR
5,291.99848800530845,292.263639729432,HUL
6,160.45885959208275,158.60227254478403,NOR
7,183.39565520354748,179.8899258877787,NOR
8,269.8288757814133,270.9505794387145,HUL
9,296.846020779861,306.2882719492064,HUL
10,307.363416349052,324.1620067152811,HUL
11,303.6007544084474,326.6347294345999,HUL
12,108.78070653383969,116.55330510861909,HUL
13,187.29732370265566,184.39552720661374,NOR
14,268.953814552449,268.5877609778327,NOR
15,295.718076585996,295.2068995658294,NOR
16,295.7243716305577,305.2213033878479,HUL
17,194.00916009466417,188.63016521205083,NOR
18,221.3817182521549,218.55383554729875,NOR
19,273.08092109545146,267.5314209206634,NOR
20,150.35220498071118,157.37717684669073,HUL
21,147.3714603949671,147.6242595107491,HUL
22,224.24314395249814,218.39207426949503,NOR
23,233.9646610437741,251.65937959554975,HUL
24,161.2627747628191,155.82820372607185,NOR
25,,220.7989784529108,HUL
