Minisector,VER,HUL,Fastest
0,278.2790423660664,287.39059572571426,HUL
1,221.91778517333333,218.46894556227238,VER
2,113.44694477915814,113.83454561697941,HUL
3,194.35726416727272,199.57227655384617,HUL
4,172.38755658149762,169.34433585581158,VER
5,219.01546994917646,229.97648858412697,HUL
6,279.78906382714246,293.3752631456996,HUL
7,293.38875008,315.998326,HUL
8,169.42450914883713,169.1259998866935,VER
9,128.42619627805584,121.97016858189508,VER
10,138.669018666605,135.28495825399673,VER
11,197.611858556346,198.48195030672633,HUL
12,206.07679225171108,205.96952127732055,VER
13,134.05635450666665,131.07872138927846,VER
14,142.03487262341068,145.00644075698762,HUL
15,134.58306848276726,130.95671742562115,VER
16,251.705159415873,268.0462497066667,HUL
17,139.20710101961117,131.8135704647619,VER
18,204.09246821458828,206.52743293271834,HUL
19,133.5251295888416,124.04050414962275,VER
20,145.56576677690904,144.33402601124473,VER
21,127.92194075493028,125.80765422348748,VER
22,154.26949240133226,151.6691704727885,VER
23,220.23085322539683,219.77672734003434,VER
24,238.8367801269841,236.17857142857142,VER
25,,270.48571794285715,HUL
