Minisector,RIC,ALO,Fastest
0,280.20362291937414,279.40654191127584,RIC
1,305.6278136843908,308.8973657136616,ALO
2,291.2663535256827,296.29101678731007,ALO
3,174.2699952492998,172.3220435845176,RIC
4,117.84723341620666,109.7143256999702,RIC
5,235.03291968426322,235.55564128502954,ALO
6,287.9244804132433,278.5520504629848,RIC
7,298.14020876405897,285.2451155903841,RIC
8,161.893422039981,167.06902052493396,ALO
9,137.78478151027696,132.95664720983584,RIC
10,251.79387984974798,248.4031787171632,RIC
11,294.28878448197526,283.99772603141855,RIC
12,299.63500746122844,294.194959189769,RIC
13,271.96941751558245,276.21528610413276,ALO
14,299.616625054368,295.5347343726107,RIC
15,302.62381246897684,300.0635621812105,RIC
16,238.76170421001126,249.63564217283923,ALO
17,214.79072338199148,208.82597644049983,RIC
18,282.6037576027546,271.9455235187544,RIC
19,315.9147304878081,299.0195067798731,RIC
20,324.95535535031837,305.93870696928434,RIC
21,217.01832023479838,229.74791731850763,ALO
22,251.83013744127908,245.23307642534553,RIC
23,134.93237863754675,133.7333193752864,RIC
24,213.31422362558567,194.6230045599945,RIC
25,255.70833066666665,248.17154994569376,RIC
