Minisector,PER,ALO,Fastest
0,307.7057984,297.05251435503084,PER
1,156.5273537076302,158.56498174800575,ALO
2,158.19164621440038,154.75670827835302,PER
3,205.15458817354727,220.69637258291158,ALO
4,282.9925520265895,282.26829732173917,PER
5,298.4981066666667,291.28194585396824,PER
6,151.54578044803733,146.61864534308984,PER
7,137.30993154883672,138.32096159549658,ALO
8,160.45145925436427,146.11465513911833,PER
9,161.5537328557246,172.84335345585586,ALO
10,133.8545862248676,134.44711890058562,ALO
11,128.81377505682607,124.98715047176907,PER
12,149.39896949744187,158.802684830805,ALO
13,261.3037196591618,258.8298898388206,PER
14,289.7543177291007,281.56312097391304,PER
15,153.46746434949338,153.50123494603173,ALO
16,214.39428864367818,211.19395898698045,PER
17,151.3615169268511,161.36699294549226,ALO
18,263.523515945736,260.78626088691595,PER
19,291.7107953454545,283.99561576054424,PER
20,303.7721874133333,296.3161958657369,PER
21,314.0602101727671,303.90789468070176,PER
22,319.49062517333334,309.29682904174035,PER
23,324.44358087692115,312.33276653424036,PER
24,322.65947441269844,309.4665807651626,PER
25,,310.9583331555556,ALO
