Minisector,VER,LEC,Fastest
0,274.53016752589076,273.94688672422393,VER
1,233.9958783945319,225.2189235360587,VER
2,119.45693833899122,113.3412010585356,VER
3,196.3115791458331,191.8304613865407,VER
4,183.29250417132837,181.33198851779832,VER
5,217.79876162514907,221.77175104339997,LEC
6,274.34739269309813,276.38389513357913,LEC
7,292.51026834634774,292.364552107836,VER
8,186.44313253646212,177.87414064693823,VER
9,135.50550719798682,132.01191896182382,VER
10,136.60632599755778,135.6684990875754,VER
11,190.8159782670759,189.30528419314066,VER
12,221.87602320092392,221.36681298079574,VER
13,137.8219920668175,132.8913027779192,VER
14,158.9347132400787,151.63374407988834,VER
15,125.04689282727205,124.49475318959145,VER
16,254.1594536886043,253.64693799183672,VER
17,146.7070402584082,146.3227991437567,VER
18,201.93443250876885,204.9995636805493,LEC
19,137.13359736483085,131.80194517035042,VER
20,152.04716616794246,147.27508025421648,VER
21,127.09451059221958,125.9542594941022,VER
22,148.025604450046,150.2954377319978,LEC
23,218.74794869075777,214.77385571067538,VER
24,231.71151087535577,229.7415520141886,VER
