Minisector,RUS,VER,Fastest
0,262.69757360793653,262.0324700694106,RUS
1,135.96836787736305,137.78093398031064,VER
2,202.61573164431078,200.19395588871575,RUS
3,247.98272033946205,246.02512751496997,RUS
4,261.58275646271585,260.97475998095234,RUS
5,179.8758418989899,192.75161458666668,VER
6,145.28078313071194,154.49279685741212,VER
7,188.7313473046043,187.46818054545454,RUS
8,103.3964941618011,106.52264145216806,VER
9,75.08495475732835,76.1136770525547,VER
10,98.01724269198928,97.40202868736645,RUS
11,185.7596514934244,176.54959094984127,RUS
12,247.37414729650794,239.3731956915873,RUS
13,270.29441986666666,256.5266749212314,RUS
14,283.0332418813187,267.6604163733333,RUS
15,110.60451682993047,121.05983283770588,VER
16,142.22421614572994,132.5637758659942,RUS
17,199.5921865777778,193.35255302389308,RUS
18,189.7386366790482,198.7709740829078,VER
19,214.35076907629073,226.91186600190477,VER
20,136.11109656091955,139.17946388473118,VER
21,102.12174085503034,125.8768392239859,VER
22,97.57023621635427,90.14226076567017,RUS
23,198.8598583041847,189.5238339932275,RUS
24,252.4366037342857,246.0063008136553,RUS
25,266.32500000000005,263.24,RUS
