Minisector,STR,HAM,Fastest
0,281.4060509651452,281.21194968426755,STR
1,254.07522802174384,237.0558426376534,STR
2,270.27481834836533,264.00688666929295,STR
3,286.303703762963,283.1936427216981,STR
4,126.33684512830591,132.6794031506287,HAM
5,206.14769856754916,206.072412234996,STR
6,265.6655150268138,265.7150377784461,HAM
7,289.5172018507411,289.15241663813663,STR
8,301.7464776039017,299.7448007219108,STR
9,308.05,304.6748660182217,STR
10,297.4713584,286.07407455720386,STR
11,105.40143953890832,101.58043251648996,STR
12,220.22400447075668,218.77512341542462,STR
13,269.77967100216046,269.7844590451616,HAM
14,277.0266027485293,274.75712081699885,STR
15,128.382605183746,136.13089643932256,HAM
16,200.33980822465216,202.52357944887157,HAM
17,254.6240415937106,254.95150093075006,HAM
18,253.89262516490982,256.6120175694709,HAM
19,248.48818483969424,243.53859554561603,STR
20,148.65827844810494,151.888479686418,HAM
21,182.60809098940402,191.66847599525823,HAM
22,170.34115997807595,166.89823273048415,STR
23,188.0161594690906,188.00109498589984,STR
24,247.07847071737547,250.20385375340615,HAM
