Minisector,RUS,BOT,Fastest
0,287.6989599613518,286.57396796350207,RUS
1,299.2642946285443,297.5678578387825,RUS
2,303.384603290236,301.8479765307815,RUS
3,303.9527479525926,297.4889376829348,RUS
4,189.05411425734786,185.95233262385486,RUS
5,215.66896057791035,211.44972942311426,RUS
6,264.8325249942857,261.8965232951227,RUS
7,256.21837500337386,256.33726906896396,BOT
8,180.66879398170488,181.498935364586,BOT
9,150.44807664354337,146.22633978334886,RUS
10,180.75570968561593,190.95263999849502,BOT
11,255.42707244071738,254.70444573835314,RUS
12,248.55605722691317,241.96251828749206,RUS
13,225.6845149348148,221.3429278267455,RUS
14,266.04995335434523,264.5397956631111,RUS
15,164.56142657596962,167.41271048807448,BOT
16,210.66558804020806,218.08012402402932,BOT
17,233.8825087930736,237.09380318571428,BOT
18,127.95860458528138,140.1129624344573,BOT
19,237.92618665928853,236.58102277211873,RUS
20,274.6626460744589,272.191407056,RUS
21,244.9227375648819,243.79660257532478,RUS
22,137.3187676892073,139.43483290748833,BOT
23,206.47733156017281,205.96003704994374,RUS
24,267.439128277655,264.1680280453515,RUS
25,,278.21495374058844,BOT
