Minisector,HAM,BOT,Fastest
0,245.82190707837185,249.6927316597456,BOT
1,280.38888888888886,283.51902172753626,BOT
2,186.66390376230257,179.04451004490858,HAM
3,158.7510204335601,156.8459193013248,HAM
4,259.3979295976884,258.9646666666667,HAM
5,265.68666666666667,263.9054587281693,HAM
6,222.77760746666667,210.77708333333334,HAM
7,203.30465684705882,192.4840666314602,HAM
8,152.9703787878788,151.8856089124655,HAM
9,209.60827691556415,212.57135416666665,BOT
10,269.1333333333333,270.7931393755933,BOT
11,128.6091040213733,122.47664399098485,HAM
12,208.22836585540256,212.49856415407248,BOT
13,271.01914285714287,270.6937834408855,HAM
14,292.30605654819226,293.29995351298317,BOT
15,300.72234454717994,302.59450758787875,BOT
16,247.4896551724138,230.85820680376693,HAM
17,138.38112447916774,132.4897207957638,HAM
18,131.93311719209026,128.91739124998335,HAM
19,123.07596295824702,117.7412297158676,HAM
20,223.2394409414204,227.72132935619047,BOT
21,249.1635802469136,250.06165162818547,BOT
22,240.8013380441843,225.4532340825397,HAM
23,222.32775855118467,208.2844542840042,HAM
24,140.67900643796855,138.62428725009912,HAM
25,213.79166933333335,,HAM
