Minisector,PIA,OCO,Fastest
0,280.4419327417787,279.79323329260967,PIA
1,124.64506921535235,116.7339616762556,PIA
2,167.0414499046425,161.736614193498,PIA
3,211.62049671736494,208.91249349233954,PIA
4,170.01615076405537,163.6638514563265,PIA
5,243.2307273709091,244.5612209693848,OCO
6,227.63135581875903,213.97539012103857,PIA
7,134.0354294105884,135.17274749734878,OCO
8,232.88516225871345,240.8349953700858,OCO
9,285.02199761608466,278.2813826319577,PIA
10,295.2578152251893,283.42499072723257,PIA
11,154.05072631266768,156.94415118507223,OCO
12,225.63490629775248,223.80328777622734,PIA
13,271.18502838812617,270.16514884342854,PIA
14,258.4838387737143,268.7022065192157,OCO
15,100.41898412597871,104.43797215548346,OCO
16,219.54855130590545,224.762755261678,OCO
17,281.1316965561905,270.5274970465072,PIA
18,303.459851147619,291.9233972585538,PIA
19,319.7932158094515,302.47042151577614,PIA
20,325.46010042380954,305.71851504761906,PIA
21,280.2669423077694,289.01226357287896,OCO
22,152.6478985535719,169.10821903525175,OCO
23,240.86371588969425,232.8876085423923,PIA
24,289.1569993539589,275.3805813652763,PIA
25,299.8571428571429,,PIA
