Minisector,VER,ZHO,Fastest
0,302.81042324208096,289.94169350498277,VER
1,320.9425540958153,300.1150445631615,VER
2,324.96913834505625,298.50682334983804,VER
3,190.7572188303069,182.32349070370915,VER
4,209.28034535863011,202.29584994018063,VER
5,205.26255249576374,201.59211931407802,VER
6,264.7614975425246,263.97160119272337,VER
7,255.43011802905244,249.1968729985149,VER
8,210.01373869883562,203.54262560425502,VER
9,207.01931175423377,207.2428661577848,ZHO
10,142.31887698215826,142.21365311536266,VER
11,195.28547883753723,208.93674688982864,ZHO
12,182.86279717068064,174.38814759073026,VER
13,245.4992186088889,239.70576585674772,VER
14,173.9457192090476,175.35588911250366,ZHO
15,232.29880832662528,229.89883126153848,VER
16,274.9499654995011,273.4001730999999,VER
17,279.2964865206349,275.31754077229436,VER
18,273.59921724836937,264.3576442380693,VER
19,256.5621184562186,249.6727951941818,VER
20,254.52126699089948,252.5351105307956,VER
21,255.71545048629588,253.69349375237,VER
22,222.61687171868132,226.32518511610246,ZHO
23,201.01702149334292,189.95524902114946,VER
24,266.5798073194805,263.91240019331974,VER
25,284.13250048,281.44642742857144,VER
