Minisector,RUS,OCO,Fastest
0,250.5961321338388,248.73122927871657,RUS
1,212.2890099650986,200.6736540761905,RUS
2,204.8100756283272,203.07920892114285,RUS
3,254.95541687226387,255.46007382559006,OCO
4,269.33040267132975,269.4479825652443,OCO
5,281.44676059200003,281.80427165233084,OCO
6,166.7230558248189,160.12039007216316,RUS
7,180.1460103270711,180.35624190018066,OCO
8,261.90863188759147,262.95523364952385,OCO
9,285.6008517929881,290.2914110048485,OCO
10,294.6319981624242,299.3396142670017,OCO
11,297.12416634666664,295.06780045351474,RUS
12,108.98952405829428,111.85635922029928,OCO
13,194.04823696203331,186.50301040588587,RUS
14,266.3101385525019,266.9024708814355,OCO
15,287.3924342905263,292.3272299565756,OCO
16,284.41671423792206,290.73986427936507,OCO
17,184.33661213623444,181.195704483086,RUS
18,220.9254733902948,216.3309499107483,RUS
19,259.30893883225605,258.35645024415584,RUS
20,154.9791979045614,152.1963031390417,RUS
21,144.59085994045657,140.61965374910767,RUS
22,216.9308336134543,218.9490514567765,OCO
23,226.07315616386032,223.13750456321952,RUS
24,165.4616738076169,163.224332665333,RUS
