Minisector,VER,VAN,Fastest
0,277.9276960627451,277.70677864973544,VER
1,299.6297224533334,307.99424564096444,VAN
2,310.9265625333333,329.31043943150183,VAN
3,317.81904754285716,343.1065473523809,VAN
4,321.66547619047617,344.5651785142857,VAN
5,322.1596846581734,342.72628299487184,VAN
6,199.52280827733333,186.03883485866666,VER
7,112.1798854441113,105.68734070504837,VER
8,193.65094353015874,192.60930005079365,VER
9,266.23564115975194,266.153282296781,VER
10,292.3367462704762,297.5877777777778,VAN
11,159.09692345396826,156.76465547586207,VER
12,103.37858018138436,96.46409643863552,VER
13,123.06084653968254,120.03178069376571,VER
14,220.76771106449416,218.40722702947846,VER
15,195.1539607173875,181.60748905051707,VER
16,234.15232561718983,210.18787805367964,VER
17,185.16910840222326,172.49776258648197,VER
18,244.69117647058823,240.90011017543858,VER
19,282.62086884553355,277.92556114784736,VER
20,249.61104650165467,225.3747853364874,VER
21,150.63745983748183,136.1276623450408,VER
22,102.80251875221443,97.21895884445455,VER
23,130.7584498270775,123.86663381131721,VER
24,230.33207382800063,229.13166650666668,VER
25,259.03333546666664,,VER
