Minisector,OCO,TSU,Fastest
0,278.34002788142146,284.85340136054424,TSU
1,289.17610892751884,293.42994628593306,TSU
2,294.69793201777776,299.1359524190476,TSU
3,293.35934274091505,294.93335600907034,TSU
4,159.9448364334226,158.21118520666698,OCO
5,200.5717172591078,195.86415692342857,OCO
6,220.015049624315,213.14642841074925,OCO
7,259.55976449046057,256.4848872180451,OCO
8,240.96001689606055,231.94763902921216,OCO
9,151.38269950981464,148.83056268167388,OCO
10,221.06689659887365,216.2236095662162,OCO
11,129.3890410224903,127.4832073361388,OCO
12,227.74535131826087,227.6074108431251,OCO
13,166.30582364641162,171.46748379890332,TSU
14,210.8448468379443,215.48377213695395,TSU
15,223.3910346433864,217.90335873391305,OCO
16,248.80001738558795,247.18206060606062,OCO
17,277.7665700610128,279.8338840571429,TSU
18,143.2573576312273,147.3236106532932,TSU
19,158.84359373027502,161.7192386335964,TSU
20,137.742022621318,130.6280765934837,OCO
21,150.00186417219766,145.29283560016393,OCO
22,108.14127741516228,105.45760659699087,OCO
23,213.3319819590008,208.95339751475976,OCO
24,259.50060960092264,261.7978911564626,TSU
25,,278.01666666666665,TSU
