Minisector,ANT,VER,Fastest
0,273.63157894736844,285.9995265151515,VER
1,125.15070808820809,113.26052944802944,ANT
2,163.55902871075284,169.68778571428572,VER
3,206.5597866419295,203.10720126434413,ANT
4,174.28955314009661,168.9301328023301,ANT
5,238.5459001782531,241.0892195767196,VER
6,208.619099378882,190.56521473391254,ANT
7,138.20876176510467,138.97283385806114,VER
8,248.21969507101088,246.775736547345,ANT
9,285.17712053571427,287.83347338935573,VER
10,282.8267448849713,274.046875,ANT
11,157.96724644403216,151.0480101548291,ANT
12,225.86421141134002,228.55874300026784,VER
13,279.1001400560224,279.9037283197911,VER
14,258.32450980392156,229.1363308408763,ANT
15,104.61468896156924,106.23988306587297,VER
16,236.26248487102194,243.24758780350876,VER
17,295.91898577612864,301.46355186254533,VER
18,313.7619658119658,328.0002232142857,VER
19,322.8232353338562,336.5434523809524,VER
20,325.64930555555554,330.11748776177325,VER
21,297.09236633249793,259.79791666666665,ANT
22,159.61681983427872,160.2372655122496,VER
23,244.00773809523812,250.95519722778087,VER
24,283.2798941798942,270.5835784313726,ANT
