Minisector,LEC,RIC,Fastest
0,256.02913294216023,257.47707560843605,RIC
1,235.01472517732768,222.5118689231363,LEC
2,145.3073376231884,147.83430005841618,RIC
3,237.24539947805502,241.0286661577655,RIC
4,268.70950024533334,269.91668867562663,RIC
5,183.59259511056024,178.30230835105291,LEC
6,101.25820431435366,98.20822399407898,LEC
7,133.89440570444427,134.47897963844008,RIC
8,246.49358519082892,244.37915130968491,LEC
9,172.5611331082045,160.54314796065597,LEC
10,184.79756818622118,185.38325262222222,RIC
11,254.62490142023395,252.7345558990854,LEC
12,237.60344694819034,232.20273029885058,LEC
13,258.2164088863064,245.63463275642658,LEC
14,280.5070655536232,274.94913137777775,LEC
15,279.3800998406391,266.2148346453333,LEC
16,136.8947975259182,137.20112415938672,RIC
17,229.68853669646577,231.57915788695178,RIC
18,275.77821277876507,274.7952994542396,LEC
19,285.15250493968256,286.0130836026816,RIC
20,286.546221720911,291.42362771925553,RIC
21,291.89402179710146,296.8223084256729,RIC
22,141.92322183831067,135.74611702795985,LEC
23,79.3728526300439,82.05781913497736,RIC
24,158.09212573486363,160.7919735811976,RIC
25,,236.8750016,RIC
