Minisector,TSU,VET,Fastest
0,246.83975486802723,242.55471255281518,TSU
1,282.278638620828,268.36733333333336,TSU
2,184.27309472462247,184.1382699685731,TSU
3,149.93939640087885,156.5035725460033,VET
4,258.6815668780615,257.57933333333335,TSU
5,263.0172152380952,260.1523765728395,TSU
6,210.70887614124746,206.28480392156862,TSU
7,183.76333630682112,199.7650000161616,VET
8,151.5852758643105,149.29979799649104,TSU
9,204.33775604434646,206.08235294117648,VET
10,273.6690006186667,264.865666688,TSU
11,122.15093929529237,130.044570080723,VET
12,202.2392975694309,202.52159801900225,VET
13,270.8475483428572,264.98928690101405,TSU
14,291.3644726447996,286.21376811594206,TSU
15,298.8378788848485,290.98478260869564,TSU
16,243.6520067678161,248.67525945092038,VET
17,128.11992235065014,135.20680795241555,VET
18,126.3027262743029,128.35063611892903,VET
19,117.11201978421308,118.93786525824227,VET
20,223.90200349765598,216.43602150537635,TSU
21,251.37114287407408,248.29701677025278,TSU
22,234.60896563972014,239.0735632183908,VET
23,214.63489506190476,219.46549621747727,VET
24,136.49037691057808,137.94709691895045,VET
25,,208.17500373333334,VET
