Minisector,LEC,ANT,Fastest
0,310.7143501654658,305.5904745354184,LEC
1,248.21199267900954,236.55228119203716,LEC
2,135.02347606176048,132.14717534515006,LEC
3,242.68801216678858,236.29763807898567,LEC
4,190.74874493242908,196.49424618691756,ANT
5,255.2014049043117,247.84841368611924,LEC
6,238.64370680412918,227.49130032500446,LEC
7,252.79901778607407,258.3870902246844,ANT
8,292.6334884647619,292.851358350343,ANT
9,205.6649025423043,209.74958164708664,ANT
10,199.07276312400626,202.76515224675882,ANT
11,277.3375324491228,271.7677532568116,LEC
12,213.54030233357696,212.43419986721992,LEC
13,243.89049728764883,251.93940186657866,ANT
14,293.0176662913179,293.1640888370036,ANT
15,310.15740726857143,308.6951186905641,LEC
16,312.99261628652255,306.75766333217393,LEC
17,210.29661879542857,206.24346433206972,LEC
18,261.06408881803776,264.95392440721974,ANT
19,298.22967223026455,296.40943802265605,LEC
20,313.6177897112419,311.57973389959454,LEC
21,316.1183959118367,311.3959463204551,LEC
22,146.0466591834001,149.74267682733935,ANT
23,228.24960557606485,238.26361999351946,ANT
24,289.22032166577776,287.1051888855603,LEC
