Minisector,VER,COL,Fastest
0,281.7045570957453,294.0166708881957,COL
1,152.4948914343977,152.06264740489408,VER
2,148.06433465868784,155.4024362881446,COL
3,224.09686910121636,225.95150094051866,COL
4,286.36815716173913,287.4639826841834,COL
5,287.0989490908124,289.3266337015873,COL
6,139.42942630762528,142.68317620592376,COL
7,136.26991334070652,137.4442412362741,COL
8,132.41045109868648,136.75893997764373,COL
9,183.43907545239057,178.5625176839398,VER
10,128.27191976371805,126.10738728696383,VER
11,119.04156717749127,129.6807999011951,COL
12,164.8166050531777,156.88517743578646,VER
13,267.54800482709607,266.3543337980852,VER
14,292.24316285925596,288.55834395466667,VER
15,149.95290397335702,146.2281228011695,VER
16,202.82230592852815,206.6593323512636,COL
17,172.67771977146631,160.5678611359337,VER
18,269.57205858416586,265.11533703326006,VER
19,293.171235224127,293.3118079333626,COL
20,307.6064753376266,308.71246545936384,COL
21,316.80624994285716,319.29739665082707,COL
22,321.76626701931974,325.3611319271512,COL
23,325.3809523163059,328.20550003200003,COL
24,324.0182256399093,326.9702845432299,COL
25,,322.96749952,COL
