Minisector,STR,SAI,Fastest
0,304.95978258550724,303.7939278588573,STR
1,273.3341657303837,282.1053333333333,SAI
2,161.52091152087115,174.42252004258117,SAI
3,199.76151032563544,193.45567146666667,STR
4,233.42732666645753,225.2480619734594,STR
5,269.83763873284175,268.59916671999997,STR
6,216.63238781665675,226.36680012387097,SAI
7,204.66658734538615,210.12424268282828,SAI
8,147.73945995723977,149.85262650434782,SAI
9,194.27349982685774,191.54908499108996,STR
10,165.20889192710843,171.6465627466667,SAI
11,219.7031236817401,218.73172422388808,STR
12,223.5711742252023,228.22720171174603,SAI
13,171.19001243701888,170.51718587631237,STR
14,256.7254986711024,254.188556459563,STR
15,278.0424603174603,278.7944444444444,SAI
16,262.71169870769234,268.7463570041905,SAI
17,252.24147122779846,259.43233334642406,SAI
18,251.9411107395466,259.64891998024694,SAI
19,239.2101892231873,244.47848068515972,SAI
20,266.27,209.78771847218047,STR
21,218.30775348741295,172.52201370296328,STR
22,238.13005888860005,253.43138509565162,SAI
23,275.8012182129896,286.6284988862405,SAI
24,296.01231884057967,299.6986112,SAI
25,300.85000106666666,,STR
