Minisector,LAW,GAS,Fastest
0,253.91330740500052,255.39798114530035,GAS
1,132.23555669093906,133.88883736009063,GAS
2,265.87220034552115,268.83197207182303,GAS
3,309.1704940309286,311.7174732223266,GAS
4,308.3874570910476,313.08702372219784,GAS
5,316.97304530428147,321.93603572303397,GAS
6,321.19999995555554,325.8932246631884,GAS
7,316.4749066257396,322.799061496886,GAS
8,202.39098846753248,196.93146736725626,LAW
9,202.98742857959118,201.46183846752052,LAW
10,187.94407273325098,182.25940206440438,LAW
11,169.3447536066503,169.4831922515683,GAS
12,255.33410617523808,252.01112098228342,LAW
13,275.640773905391,272.50909637488485,LAW
14,280.5273847734647,282.7040756875169,GAS
15,266.30874975404043,284.9003267634568,GAS
16,177.15618656359132,173.494886398905,LAW
17,196.85890548522042,195.45679330296161,LAW
18,242.5292338178522,242.72228493539137,GAS
19,290.6965977894016,292.93836782789265,GAS
20,310.88664120242424,313.1792219110559,GAS
21,316.2388816628916,320.63221321881673,GAS
22,312.73862478061614,317.3323271161911,GAS
23,271.211992160154,255.84620359012163,LAW
24,123.42513337721981,116.95900510030722,LAW
25,,232.2296868,GAS
