Minisector,SAI,HAM,Fastest
0,283.6610410230303,298.3446192722404,HAM
1,295.6253430016072,310.54505684734403,HAM
2,302.7052844566225,316.8137854317488,HAM
3,296.4710566086274,306.92404150462085,HAM
4,158.02471191523955,162.34248610809524,HAM
5,201.32018463661916,205.00359932759105,HAM
6,223.46757703721164,227.2898267337636,HAM
7,260.8373244618182,261.7982256812908,HAM
8,245.29087202502367,238.85904713460317,SAI
9,145.24562160211076,153.53964665837495,HAM
10,217.54214377967534,219.45901003290044,HAM
11,124.8688880066886,126.69312467842519,HAM
12,234.6074109037037,225.8706096945846,SAI
13,166.99841686180207,174.4531926579634,HAM
14,209.38718135181955,220.03666052185355,HAM
15,221.900508672,222.3568253004329,HAM
16,253.84299220899607,250.953591362406,SAI
17,284.13456852531255,277.10925638338824,SAI
18,144.3907067091724,153.7863333043171,HAM
19,161.38023703843115,169.93039089334826,HAM
20,129.96081299054904,136.75528509705057,HAM
21,145.80415794161289,154.2199593268376,HAM
22,107.56673963202822,111.11671558903043,HAM
23,214.7942949035046,213.30779146627594,SAI
24,262.8776686029712,260.7959475242774,SAI
25,277.2624992,275.0947912,SAI
