Minisector,NOR,STR,Fastest
0,245.2543014878619,243.3331433482664,NOR
1,280.9810359564384,279.7712411885714,NOR
2,167.1880142485154,169.76461784760573,STR
3,151.207073550628,153.67878454953296,STR
4,255.85633645624668,257.146890305641,STR
5,267.0041612770724,259.4244104496722,NOR
6,225.32250002251337,219.89156599741378,NOR
7,201.56411788068206,201.83792328886523,STR
8,155.67929457443637,155.0096396830784,NOR
9,207.18905086918588,217.46919529244184,STR
10,270.44718790877783,274.9633801662628,STR
11,122.51320190543674,115.849554169496,NOR
12,206.01671908981882,214.92938009411344,STR
13,278.63773774025975,276.30507464177765,NOR
14,312.5108609999287,303.2406318115797,NOR
15,329.23249996235296,314.8403934222222,NOR
16,266.5537522226087,231.91303994934447,NOR
17,124.64384985734941,132.1200371596272,STR
18,129.5204165762816,134.05496648286655,STR
19,121.5487745156825,120.63943913271376,NOR
20,223.80552882800814,229.4652571583095,STR
21,254.0863593057331,255.90040033241462,STR
22,236.48905691170697,222.22296610064885,NOR
23,215.95953479799283,198.09977663532217,NOR
24,135.4004072917157,135.57165574075532,STR
25,210.359372,,NOR
