Minisector,MAG,SAI,Fastest
0,314.8097686583235,294.92765146320346,MAG
1,253.5461676488,245.50881435897435,MAG
2,196.08981203610549,203.38238383506476,SAI
3,264.46833531333726,267.08665029619516,SAI
4,227.72543174658458,231.35480603880072,SAI
5,116.34451877573511,117.81682256557527,SAI
6,175.96791769099687,175.99411639145777,SAI
7,257.13010551286317,258.0294000554666,SAI
8,288.08582360883776,286.1990080435374,MAG
9,301.16191406011524,298.7761905015873,MAG
10,306.47280335731085,304.68446661481505,MAG
11,227.686688292233,215.60287581460318,MAG
12,143.10586081220546,151.16445111612754,SAI
13,255.93513958606235,258.8581119596669,SAI
14,287.587905634632,286.8670988845018,MAG
15,288.768269827932,295.0278550443585,SAI
16,286.28095444621607,292.7912084118913,SAI
17,262.24270855899834,256.1359745625849,MAG
18,184.15287579117137,180.6899609248851,MAG
19,188.8230757187002,180.37793809802798,MAG
20,181.25527785366558,187.64913389472443,SAI
21,250.73534513049347,244.1740169988255,MAG
22,126.77819297343622,125.29540465754833,MAG
23,201.25719070692412,202.82130202649026,SAI
24,275.26394586851404,274.9810653448627,MAG
25,289.47499946666665,,MAG
