Minisector,PIA,STR,Fastest
0,254.29622818945623,248.2702349975593,PIA
1,225.0775561304712,212.36183687958976,PIA
2,212.20310397340268,209.89807395685784,PIA
3,256.42562528,258.10324865811714,STR
4,270.3528600131991,271.6930417941043,STR
5,289.1566381248603,288.3967467344855,PIA
6,147.49341168789667,172.5563503851349,STR
7,190.00789214926294,164.5420362833561,PIA
8,270.5341927941243,268.6583037038326,PIA
9,296.5247877359447,305.10421008504204,STR
10,306.3394018714408,322.9470612974316,STR
11,304.8788851073231,322.6576642979563,STR
12,114.00732613483753,113.66860345118683,PIA
13,192.4948341672295,185.74942620115957,PIA
14,271.38634263404015,275.38192514861964,STR
15,292.8924382465587,312.8608457797609,STR
16,296.4172633953185,316.70752396499995,STR
17,189.3211013158048,187.85898021827617,PIA
18,225.13428552059395,219.82415101644278,PIA
19,273.2269162585864,262.40921996435907,PIA
20,157.75120904189887,154.29013571979056,PIA
21,148.35714812408065,140.8458138297949,PIA
22,228.82089761850656,212.96944392095978,PIA
23,242.93217918456415,235.0416841793829,PIA
24,160.00926006206598,154.66298884747377,PIA
25,225.9,223.68750346666667,PIA
