Minisector,PIA,LAW,Fastest
0,293.14651088221575,291.19891309230854,PIA
1,304.0032352685939,303.08404898812125,PIA
2,307.84989511350136,304.76095111495295,PIA
3,187.21917168241347,181.23491997819377,PIA
4,210.29955680737325,209.65093106431087,PIA
5,206.29371939309598,207.18121630238096,LAW
6,263.4265671771518,265.78712239975715,LAW
7,257.8325580939122,243.6436031085714,PIA
8,214.39116911458973,213.0180556934666,PIA
9,211.90685509977828,196.8700027542857,PIA
10,142.091069071722,149.9659582883821,LAW
11,203.67793685933808,194.47496232066118,PIA
12,197.02253884834656,197.34049194361904,LAW
13,252.75282963555557,253.49909141494243,LAW
14,182.8349826847129,174.52746600063747,PIA
15,231.93043520693567,238.00556506480538,LAW
16,281.52753779389326,280.651766975735,PIA
17,290.1623748407326,290.9403509253133,LAW
18,284.6308645488293,285.81989172557576,LAW
19,271.053720520381,266.75565274871377,PIA
20,271.93724757735635,258.61938403162054,PIA
21,265.95093818512834,263.9196444774905,PIA
22,235.42306064375984,219.46746639553365,PIA
23,206.72607466839617,213.80922281849635,LAW
24,269.36683421164577,271.7794292210526,LAW
