Minisector,LEC,ALO,Fastest
0,252.1915607127006,250.07524804883704,LEC
1,223.14300846522283,215.79472929807292,LEC
2,205.85257287390598,205.49907538139107,LEC
3,259.71228558130366,260.3254386767148,ALO
4,275.52915802769627,274.4084656572618,LEC
5,288.8875160418104,289.9088754061396,ALO
6,166.77250925963483,158.666559068585,LEC
7,182.95737493084158,184.79114868631362,ALO
8,268.45979086012807,267.9346333112782,LEC
9,295.2109163503651,293.185985852919,LEC
10,306.74138901333333,305.16730032100986,LEC
11,307.2426286298272,301.3580854095238,LEC
12,110.67169867022274,105.93962070103511,LEC
13,189.4166307267625,189.63285060767015,ALO
14,266.86867738487564,268.10284225157477,ALO
15,293.3693158157761,292.45372499939236,LEC
16,298.20980022088094,293.4232576094063,LEC
17,194.20587834312963,183.59468414212927,LEC
18,218.6293906675413,222.09175023039572,ALO
19,268.224538182861,268.4962793105689,ALO
20,156.33472510206363,145.4729202709308,LEC
21,149.5756103638662,143.2486667209573,LEC
22,217.88976959619288,220.4556098771327,ALO
23,240.09740788914198,224.70054732578092,LEC
24,161.14992080781548,161.78681827166002,ALO
25,225.28571062857142,,LEC
