Minisector,HAM,BEA,Fastest
0,268.5476044127677,275.261686188176,BEA
1,117.35126370809125,125.72208120218143,BEA
2,163.22877011695644,163.4449149103705,BEA
3,198.25353407933747,201.49213202303366,BEA
4,165.86401076477497,157.9996422719501,HAM
5,234.72216571555555,229.704040660263,HAM
6,186.16592726311475,193.15219944936376,BEA
7,134.32283763937622,130.3720039807664,HAM
8,243.8436639208697,241.90376560561808,HAM
9,289.1207182518518,281.61996385753315,HAM
10,276.1228712293037,284.77069264069263,BEA
11,151.9274953731889,148.4369319386174,HAM
12,230.4159805921936,214.90832242283125,HAM
13,280.1974076760494,274.33773856378616,HAM
14,246.15438383199998,263.589161642567,BEA
15,92.27522392829597,97.98538304562513,BEA
16,229.49583990675316,224.81874885520446,HAM
17,294.6476300960706,285.33301240261375,HAM
18,326.24218317714286,309.1012275333333,HAM
19,334.05859009809524,310.2109710550887,HAM
20,330.01627946773226,302.62803292154194,HAM
21,281.33337234106443,275.52829850784894,HAM
22,149.22055244101276,154.7438961265448,BEA
23,246.176166857754,232.70509982420782,HAM
24,298.86889212396295,278.7502536525974,HAM
25,314.3624992,282.0,HAM
