Minisector,RUS,ALO,Fastest
0,296.17906279028693,293.5243058984127,RUS
1,252.58047518247156,245.80044673094017,RUS
2,195.02475019163364,194.3479512859896,RUS
3,263.83026713513226,261.8579172644571,RUS
4,228.2527479554281,220.98330215258093,RUS
5,108.94196644442847,111.04566608438489,ALO
6,159.72105829182055,168.44020283426798,ALO
7,254.82545799102715,252.74353917554382,RUS
8,287.57470341554136,286.1187153267864,RUS
9,303.08630760116944,301.3523717183626,RUS
10,309.56447923634164,306.39659040991734,RUS
11,217.5144495880807,234.595664608,ALO
12,139.02270682323186,139.25190063358923,ALO
13,251.48741874988005,253.11547830902433,ALO
14,288.11225345015873,287.47092468391105,RUS
15,300.6711268537566,297.49027462101014,RUS
16,299.5430688815264,288.0565949087076,RUS
17,259.4610977031332,253.5484306807596,RUS
18,179.17277900728928,179.39760381062956,ALO
19,177.6930536274867,173.57319102940812,RUS
20,178.52903472075408,183.68542466998323,ALO
21,247.10812192784422,238.58451487831834,RUS
22,119.74327916313996,114.09552392353142,RUS
23,192.3056288722442,193.10597955204244,ALO
24,273.4233972588959,272.76961562875266,RUS
25,287.72500096,,RUS
