Minisector,SAI,PIA,Fastest
0,298.4514446443427,303.07624460720496,PIA
1,137.3396480878192,139.22729312674522,PIA
2,213.41987154449973,211.3151119808311,SAI
3,274.70484036548845,271.857040080202,SAI
4,313.7349612612136,310.24183106039624,SAI
5,316.4818749061623,316.5437320494686,PIA
6,154.33493009958127,145.96079780854927,SAI
7,241.8461596442392,237.3251408582369,SAI
8,113.46732239274317,111.70452049345137,SAI
9,146.3768002855241,144.65372172454653,SAI
10,272.3902227068787,271.37785314922735,SAI
11,292.8347851954424,296.18570828556193,PIA
12,263.3036500617143,249.6195475531057,SAI
13,154.10487680447469,150.8445755160602,SAI
14,270.2149197963529,271.13217456716757,PIA
15,306.58846096739035,305.8635881916958,SAI
16,323.52203950504276,321.8836619148052,SAI
17,330.3878473777778,329.8618526247304,SAI
18,336.0678620087359,335.53871556491225,SAI
19,334.7880950857143,337.10853114897503,PIA
20,241.0841572164957,229.02520965561763,SAI
21,146.97915847610676,156.43979469878616,PIA
22,276.2911855930253,273.5073282165331,SAI
23,311.07266704,312.30417572060276,PIA
24,326.1527415664645,325.1967176170522,SAI
