Minisector,STR,OCO,Fastest
0,315.47499059938804,319.8594200115942,OCO
1,322.95804224559697,330.42916673939396,OCO
2,321.2158942666041,329.2113636363636,OCO
3,197.5762342592996,199.13898224943637,OCO
4,116.70135400577685,115.88978066158964,STR
5,261.5040610464747,262.37175841975306,OCO
6,295.95256252730377,299.99497405577495,OCO
7,301.26041662222224,315.0286232115942,OCO
8,277.6083312,274.19345001306544,STR
9,142.25189312690148,138.52487225464284,STR
10,221.5120179610141,215.5992642917376,STR
11,210.49455086282978,207.08094322335552,STR
12,194.4060453006695,185.1468944970591,STR
13,266.23692746948853,264.93803891491484,STR
14,297.44800708240166,303.9381941333333,OCO
15,302.4411458222222,319.81988640000003,OCO
16,264.70962374448436,257.7187730316213,STR
17,198.27664702759355,198.9458986337733,OCO
18,265.7863773948718,266.32756530434835,OCO
19,298.3390628444444,306.5139223579679,OCO
20,306.79652782222223,322.87264486956525,OCO
21,297.7578124,309.23279104927536,OCO
22,206.89917235555555,198.2922749984974,STR
23,260.0043209481482,261.2934517333333,OCO
24,298.2589637511078,301.84045244077055,OCO
