Minisector,RIC,KVY,Fastest
0,302.2159420753623,305.8333333333333,KVY
1,302.89903628480727,307.5000823236733,KVY
2,248.31543047901235,242.35333333333332,RIC
3,156.34823141897238,152.6870950635133,RIC
4,171.9032102970271,164.58303829855777,RIC
5,215.1360424711111,217.79444444444442,KVY
6,236.6452974947894,228.28096603740255,RIC
7,214.3147227022222,210.17036124794745,RIC
8,264.4634973415685,258.72141512251494,RIC
9,259.6518846655567,252.31423611111111,RIC
10,272.4916669681159,265.9270833333333,RIC
11,270.16324997333334,268.72295560933605,RIC
12,271.8332589650794,266.7427536231884,RIC
13,266.6383749228213,263.8468396238372,RIC
14,181.50707500843538,176.68367346938777,RIC
15,236.68593212175253,234.9230229877551,RIC
16,205.99741295714284,200.12834821428572,RIC
17,169.90585477600362,171.70800990872675,KVY
18,255.15288549743588,258.0823550830753,KVY
19,285.76875352273686,287.12608700289854,KVY
20,255.34887536410255,236.65750915750917,RIC
21,186.80977773699692,182.77056132178777,RIC
22,254.17786244102564,257.07666666666665,KVY
23,283.2230306409078,286.3682243258188,KVY
24,297.2001985523809,298.0224206222222,KVY
25,301.0,,RIC
