Minisector,PER,STR,Fastest
0,306.3261905710053,315.5572717488212,STR
1,210.69279362044983,203.1123252225834,PER
2,136.44185057324535,138.2492422548382,STR
3,217.74559006407196,213.58059368123995,PER
4,152.3268646047916,156.34500313048574,STR
5,171.74237594409277,179.14286433641024,STR
6,249.8039828088889,250.85224899963833,STR
7,277.98624473565405,277.4753784491775,PER
8,287.76676489680676,284.0744114967273,PER
9,264.69729106666665,255.1477408724205,PER
10,244.1464697000055,241.88818697994552,PER
11,243.99836487619046,235.60293182729606,PER
12,210.15917530848316,198.4294277185185,PER
13,134.24288029984243,128.3567467296123,PER
14,143.24268536154008,134.63673462603174,PER
15,175.86200478620705,171.8624690549155,PER
16,254.78221137347867,256.06273709326223,STR
17,238.58741322666665,227.6341352138913,PER
18,109.90539307580396,112.10336240635817,STR
19,192.8183142505301,197.07352845765482,STR
20,189.38344976143,195.13724698933007,STR
21,231.3921449772171,230.39859153309945,PER
22,271.1555288751839,269.19089336461155,PER
23,296.95230354043235,293.5792205415758,PER
24,313.5664732025308,311.0448863709091,PER
25,320.5875008,,PER
