Minisector,NOR,ALB,Fastest
0,278.7362205087818,284.6619971047619,ALB
1,298.93574881026984,303.1748266222222,ALB
2,294.9213756621877,297.92567135710294,ALB
3,173.2687331150892,168.35976885005746,NOR
4,124.32106976430528,128.02968048813926,ALB
5,240.86159398738602,242.3478797710974,ALB
6,282.74262773333334,282.81241799376687,ALB
7,288.7946142695925,287.94228517790475,NOR
8,186.0909567436074,188.30188990525807,ALB
9,144.41156807136497,152.08937861398425,ALB
10,254.2990343983826,259.61796339583555,ALB
11,289.8184519497143,293.5102610540241,ALB
12,298.73395253638097,306.3568573238726,ALB
13,282.03718117110077,289.2037110211347,ALB
14,295.3789690837237,299.8993701719683,ALB
15,298.7099371922193,297.90216675298797,NOR
16,251.20609444653326,260.7299041506706,ALB
17,230.41815238143562,234.30786037206173,ALB
18,278.8923515674843,280.1349294310323,ALB
19,298.827034980693,298.3237002173364,NOR
20,297.5791132728735,294.86133329066666,NOR
21,228.64743769927668,239.09784105928145,ALB
22,259.90889383690563,260.9623462338826,ALB
23,139.0362332588879,141.27252456939542,ALB
24,218.60146722463392,223.14864298243634,ALB
25,260.73333333333335,265.94642742857144,ALB
