Minisector,KVY,BOT,Fastest
0,311.47388949333333,291.7408331073016,KVY
1,325.8792291185298,300.9214582577778,KVY
2,334.7996795897436,307.9845238857143,KVY
3,334.578621031746,304.21250054965986,KVY
4,187.84008581035195,201.3498621104204,BOT
5,95.44671467591826,100.58290102511144,BOT
6,201.06884656977118,201.91672750210157,BOT
7,259.8893587256982,253.9866974135104,KVY
8,295.4538892088889,280.373101952381,KVY
9,298.54813227933914,294.0522221511111,KVY
10,144.32030120970305,158.36612944668676,BOT
11,168.20176447179486,174.81533192533334,BOT
12,239.43948654318925,238.78723913999917,KVY
13,235.03516011265552,242.77968290854292,BOT
14,142.81199224527398,155.9433041904762,BOT
15,205.40432488082388,205.05439564236423,KVY
16,259.6620099764706,257.6747538644258,KVY
17,283.5374880970257,279.8461107911111,KVY
18,294.77527800888885,292.24276936322894,KVY
19,300.5737967347358,299.79057834730827,KVY
20,281.28122820402115,290.1667866107937,BOT
21,145.43855717211602,155.42848525870616,BOT
22,203.79655792332886,200.98650342172652,KVY
23,261.526328144895,253.66729858095238,KVY
24,292.12440540952383,277.54696221871006,KVY
25,304.8250016,287.1194446222222,KVY
