Minisector,RIC,HAM,Fastest
0,282.29629777777774,306.24619420270193,HAM
1,129.621403562477,140.382861059944,HAM
2,167.62634856208163,136.2018933010101,RIC
3,223.36729226666665,228.39116234817243,HAM
4,170.31273782623765,158.13160889064036,RIC
5,246.38662640072985,241.34079296628897,RIC
6,219.66704766060604,234.22639827208656,HAM
7,139.23211178719222,135.67555385833333,RIC
8,235.69669990893289,233.0493414736842,RIC
9,275.87328409635853,276.552083,HAM
10,278.68578560000003,295.28271932235833,HAM
11,146.74455863988547,154.59284363870967,HAM
12,223.31422958951515,213.55105814862816,RIC
13,269.96966708891733,268.8919266666667,RIC
14,270.73235312941176,280.9000139958032,HAM
15,106.71908880653383,101.83525803615242,RIC
16,220.74395749391502,214.15521797970771,RIC
17,273.71214307220976,274.5164562464986,HAM
18,294.5319841930159,302.8672498391813,HAM
19,304.72281098140905,319.6817310358974,HAM
20,310.099000010898,329.0283332977778,HAM
21,292.5174098,309.3391282895238,HAM
22,159.39902986666667,154.87562657253156,RIC
23,237.9640354245614,232.74755019125558,RIC
24,279.8270760309385,284.4459823047619,HAM
25,291.03333333333336,300.01666773333335,HAM
