Minisector,RUS,LEC,Fastest
0,275.80130517238564,276.2683723843736,LEC
1,299.7228269073302,302.41166677930215,LEC
2,298.02484026177444,299.91267344900433,LEC
3,174.47677096527585,180.5440892515073,LEC
4,117.24324141092235,113.72099535543491,RUS
5,232.862470593204,232.2271242014839,RUS
6,291.3266953875441,295.08208254172484,LEC
7,310.4321728200867,311.2854922917647,LEC
8,173.06411174276968,172.94050565318994,RUS
9,136.12902455238952,134.41811527246966,RUS
10,247.71966454970018,250.93961547496036,LEC
11,289.5451546331653,289.63276596135614,LEC
12,303.50462308622224,306.1114767542857,LEC
13,281.7539099540072,281.1993030869273,RUS
14,298.4671053152882,295.2894207168831,RUS
15,299.00580799353537,295.7071366276894,RUS
16,249.80988220181717,253.97026892833247,LEC
17,226.16972245772075,225.0647112944291,RUS
18,281.70112498649934,284.3041457291331,LEC
19,313.30346329212125,315.2693445379226,LEC
20,320.88692719914724,322.7849751026455,LEC
21,220.07810825536944,215.57187956945455,RUS
22,252.983890507475,256.8960232031231,LEC
23,130.80740097106155,126.16612704882154,RUS
24,204.79574384927244,208.02053808699344,LEC
25,256.48125120000003,,RUS
