Minisector,RUS,HAM,Fastest
0,300.5682144454581,297.9386930897697,RUS
1,189.33378183889255,191.11028546739345,HAM
2,219.79446824998433,221.35117552346784,HAM
3,276.6176866676223,276.05022408310185,RUS
4,228.99886166003702,230.233514414499,HAM
5,124.37511196437053,126.09223347925712,HAM
6,203.87883494945254,201.34776556037002,RUS
7,239.08772608857188,239.28982662067978,HAM
8,236.26056991619896,229.21459673402526,RUS
9,226.46116696543885,214.74151821527767,RUS
10,273.2150347796582,272.4264875136734,RUS
11,289.73115356286996,290.30680836643097,HAM
12,296.4746942399718,302.9741386858198,HAM
13,298.92778810372727,317.31053087868435,HAM
14,297.73357142857145,320.2577988932796,HAM
15,227.56901305677488,255.58069805194808,HAM
16,226.90821337740826,228.9253464103058,HAM
17,270.9428997579742,281.9499801799073,HAM
18,285.48652090637495,300.782497233832,HAM
19,139.6030917788288,147.66199936993627,HAM
20,195.4431641573585,200.36610140881106,HAM
21,184.10726748435414,176.9254340417049,RUS
22,134.72808346515114,126.18014546618755,RUS
23,236.83597061142112,233.64448901871813,RUS
24,282.63795683221883,294.74140085766953,HAM
25,297.1194974021604,314.28928502857144,HAM
