Minisector,GAS,ALO,Fastest
0,304.15355164160155,292.2503991029318,GAS
1,321.71708413415985,301.6462602191597,GAS
2,329.5032636165079,305.7182341663492,GAS
3,306.39016647162794,291.07643589610393,GAS
4,155.1040266288845,163.8154811465534,ALO
5,208.9596364838788,213.91085209794343,ALO
6,233.34452887923248,245.4166257768944,ALO
7,268.9977425511111,269.47676643598766,ALO
8,244.56213472858497,237.40746326857143,GAS
9,156.89993203105763,157.22566592426904,ALO
10,218.27748882615396,214.15783308788556,GAS
11,124.0158541657201,128.42654393166023,ALO
12,220.8214761114084,228.04843273167305,ALO
13,171.6373163290771,173.25590157108513,ALO
14,213.50624879612857,212.2141485625589,GAS
15,242.60003918501397,240.13642641849717,GAS
16,266.53642870718613,263.52235451225397,GAS
17,288.53534095327734,287.6235505656678,GAS
18,148.9629290605848,145.50278619159664,GAS
19,161.6747642185145,164.20230439689868,ALO
20,136.8936809088025,134.73290282668736,GAS
21,227.50563992976805,230.98424340870176,ALO
22,260.9644460047331,262.64736096780354,ALO
23,249.7673983460338,253.06367663058822,ALO
24,276.4692418963044,279.51763613325807,ALO
25,289.1874976,,GAS
