Minisector,VET,HAM,Fastest
0,288.37254901960785,306.24619420270193,HAM
1,128.12684871400293,140.382861059944,HAM
2,165.5477954144621,136.2018933010101,VET
3,220.77380816114055,228.39116234817243,HAM
4,163.70617283950617,158.13160889064036,VET
5,244.64902077848964,241.34079296628897,VET
6,212.45486542443064,234.22639827208656,HAM
7,140.79484580939737,135.67555385833333,VET
8,237.0340476190476,234.46041599999998,VET
9,277.1181037969187,277.57083306666664,HAM
10,284.52964851586836,295.28271932235833,HAM
11,149.67367038573144,154.59284363870967,HAM
12,222.4889891098671,213.55105814862816,VET
13,271.27058823529416,268.8919266666667,VET
14,269.2444472888889,280.9000139958032,HAM
15,104.56925510879745,101.83525803615242,VET
16,226.96031613968253,214.15521797970771,VET
17,276.33723986666666,274.5164562464986,VET
18,297.7825519333333,302.8672498391813,HAM
19,308.53538909847583,320.13303596190474,HAM
20,312.45818792973546,329.24464281904767,HAM
21,291.8118486473895,304.0502092234967,HAM
22,156.89118974668855,153.85174579809524,VET
23,238.6202955828024,234.78689493816378,VET
24,280.54004557037035,285.36190497703086,HAM
