Minisector,NOR,RAI,Fastest
0,288.95991560638214,296.62954490735933,RAI
1,159.5003371270963,156.05297421696213,NOR
2,152.7308458936063,153.72406289377082,RAI
3,229.00928647068076,219.12417515928263,NOR
4,283.357815347412,282.20991216231886,NOR
5,283.202081550045,294.74959070098504,RAI
6,147.2077959720322,147.13504932634373,NOR
7,145.84691774630392,138.53143093499352,NOR
8,142.21176150297742,153.16106480581527,RAI
9,190.23488558451356,171.03346050231858,NOR
10,133.68512768755085,134.71575131460725,RAI
11,120.69792804535231,127.33591229622478,RAI
12,174.30061373467785,154.81028408904737,NOR
13,268.5917721142089,262.5671636886529,NOR
14,282.22018397229436,289.157880185034,RAI
15,152.3122993798797,157.48995283552563,RAI
16,210.77964814530728,216.0597737095861,RAI
17,175.52829702303308,161.06082000761904,NOR
18,272.15324878095237,265.7462310095238,NOR
19,292.90851431884056,292.3718619636364,NOR
20,304.467828658601,304.3920636952381,NOR
21,310.94223481212117,313.095918585034,RAI
22,312.83708336,316.59617183660987,RAI
23,315.02875002666667,318.6324998933334,RAI
24,313.34404759365077,319.525,RAI
25,308.0,319.0,RAI
