Minisector,LEC,HAM,Fastest
0,296.78359090423544,295.3007354215092,LEC
1,305.5,306.4136364350877,HAM
2,309.2615351747368,311.9339445949556,HAM
3,292.4107121329064,314.87405864744574,HAM
4,173.34286279717105,156.56974120202483,LEC
5,212.45645479505933,212.95485506937197,HAM
6,241.44138905396827,240.98126746719564,LEC
7,270.5085524518095,273.9212974064762,HAM
8,258.123404295439,239.3653024268323,LEC
9,158.9592603515958,157.60179883230214,LEC
10,224.45231298586683,213.9441771920635,LEC
11,126.49169973855248,127.93277893634419,HAM
12,228.65396862666668,238.11202423229426,HAM
13,176.9793002425449,169.52887983029478,LEC
14,216.2263045738528,223.81805101030002,HAM
15,244.90876841876047,242.38635999529697,LEC
16,268.86821124397574,272.5838595583109,HAM
17,291.9578870222222,301.1802287653874,HAM
18,152.20325549099493,144.28514717604335,LEC
19,163.09400428440512,167.8447678364475,HAM
20,140.1071126111191,137.56770085754349,LEC
21,229.0368913673096,233.46291107091787,HAM
22,263.6209359210486,265.39218261303427,HAM
23,252.5286937095626,248.7318266011427,LEC
24,278.3283217817134,279.0628504141923,HAM
25,289.8875008,,LEC
