Minisector,GAS,COL,Fastest
0,278.06292610612246,287.7789115203475,COL
1,299.0,294.07896817777777,GAS
2,234.4683008671605,232.13860944124033,GAS
3,120.19675977895638,115.1338544872947,GAS
4,131.30906031501857,136.79481324641742,COL
5,240.59986553034014,256.6874453445488,COL
6,237.29128039415875,248.76722517042407,COL
7,130.12546128467704,131.05878706069583,COL
8,249.0495533632834,246.26682573921119,GAS
9,250.89673545256198,249.6055988839619,GAS
10,209.80856711085713,201.3191622393387,GAS
11,138.65258471693554,144.20547861234297,COL
12,203.27270920496295,199.91698574909879,GAS
13,252.51030215453417,250.89991949726678,GAS
14,112.11614428507959,115.5307879636804,COL
15,196.6577557611789,182.93872504173476,GAS
16,271.09237978261876,265.61904709432713,GAS
17,309.5103140919728,307.79605950839004,GAS
18,322.6905080470588,322.1842505428849,GAS
19,325.4715789922807,320.9766090304306,GAS
20,321.1273437,312.69981871310654,GAS
21,220.77320291224362,185.2249792533101,GAS
22,121.96814203917137,136.83515595358938,COL
23,188.93842887777777,186.24711243910235,GAS
24,225.3764500240355,233.89924294624393,COL
25,,273.9916629333333,COL
