Minisector,ALO,BOR,Fastest
0,289.02212938235095,290.5167583487564,BOR
1,290.8344395920772,292.04246287085715,BOR
2,157.65576173800093,155.02020257331796,ALO
3,216.1486029512155,217.33484129272355,BOR
4,270.16606634871465,268.1838803277131,ALO
5,292.7202615365079,289.9327871068268,ALO
6,302.81334058353684,295.2809036753114,ALO
7,162.91611043366046,153.3680898672408,ALO
8,123.00022666545362,137.6317539246561,BOR
9,249.09752501051148,248.6312382887436,ALO
10,283.26641202796316,282.17939263744483,ALO
11,293.1729756363636,287.4354018119474,ALO
12,137.11279015607298,141.33925902837902,BOR
13,196.58850459281012,192.53167438743353,ALO
14,250.85165752323232,254.91015000466268,BOR
15,193.2076596141153,203.73742934682477,BOR
16,203.04487678780953,218.64905597541807,BOR
17,203.4295848305014,217.10391404619912,BOR
18,238.03343839999997,244.218357316083,BOR
19,273.600181938636,276.4667434192593,BOR
20,293.02162283789477,288.64968908246914,ALO
21,262.93964727578947,258.54636924870454,ALO
22,208.9180735302634,224.17618959010883,BOR
23,190.72538992786156,198.28395662518858,BOR
24,263.926837196705,263.4289028065882,ALO
25,,281.15714194285715,BOR
