Minisector,ALO,HUL,Fastest
0,278.4089696651082,281.8252721158095,HUL
1,298.17605335893586,300.7035680419029,HUL
2,235.7860184911464,217.212402994023,ALO
3,112.29198912767171,107.14470015079733,ALO
4,128.53987000202898,128.28189740792186,ALO
5,247.4652863031,249.95887485211418,HUL
6,244.61043934978,256.74925279873014,HUL
7,120.08529201819965,118.02774125482053,ALO
8,247.5861949786362,238.37715693454865,ALO
9,262.5678073523634,237.07341857959713,ALO
10,210.31682389939127,196.4309151077395,ALO
11,141.81139233112975,137.00956986808072,ALO
12,206.30311206856612,194.96922927333333,ALO
13,249.2259269908364,261.60041447799136,HUL
14,109.15576790525493,114.60643771949697,HUL
15,188.57602103590082,172.7351061747152,ALO
16,255.58030162873854,250.89422474544762,ALO
17,293.48554505784676,286.66255390742856,ALO
18,313.0911155665163,301.9881789590402,ALO
19,325.1471844708198,311.6852243166984,ALO
20,331.31344254391536,316.53676695097744,ALO
21,161.73341911940247,189.0770667132314,HUL
22,148.78752391900454,120.22003948344255,ALO
23,193.19300391941198,189.0960211183502,ALO
24,232.50797381485714,213.2696709733354,ALO
25,264.95499904,260.01400098133337,ALO
