Minisector,ALO,STR,Fastest
0,288.5577012143693,287.676326624462,ALO
1,295.40590984515154,289.9052789683185,ALO
2,167.8545904572699,166.58317829111544,ALO
3,222.12136367337536,220.24834233101146,ALO
4,269.6858661250269,271.4301691729323,STR
5,291.6986255193277,293.0726309213986,STR
6,298.94498104295366,299.8572374886181,STR
7,167.61151202959707,177.86687964313285,STR
8,122.09607852953896,129.03451965055845,STR
9,244.56293526240557,248.57821534901154,STR
10,283.2255190869145,282.39711597755434,ALO
11,295.0639389272271,288.90420385238093,ALO
12,152.29904086325215,146.18348316105426,ALO
13,182.58132917281966,195.2658623788034,STR
14,253.24691644193732,255.54531223064043,STR
15,202.32952730784436,209.79156264607636,STR
16,213.9652076591304,220.4595417801719,STR
17,208.31047703975995,212.79219152471654,STR
18,240.87326714933334,242.64680839002267,STR
19,274.8131246243771,276.84868942576105,STR
20,293.5096215520448,291.7186763545098,ALO
21,268.3234029123232,262.18748689906585,ALO
22,224.6340474009917,223.82555750205748,ALO
23,199.74457686245015,202.25346402328043,STR
24,262.7120024464762,261.6001465271481,ALO
