Minisector,LEC,HUL,Fastest
0,279.52151331787036,281.8252721158095,HUL
1,297.35149384355435,300.7035680419029,HUL
2,239.7331184327292,215.70532289422223,LEC
3,111.31612931935679,106.00688787274115,LEC
4,125.4054243210948,128.28189740792186,HUL
5,248.08890140395258,249.95887485211418,HUL
6,253.45526120128707,252.63748221318096,LEC
7,120.8774315091656,119.00129039160373,LEC
8,243.64512290250525,241.029371832071,LEC
9,250.34399900711375,235.6249895727946,LEC
10,202.65520137937168,191.22477312659504,LEC
11,137.63609747780376,135.67549009757096,LEC
12,202.0863233763775,201.66727617333333,LEC
13,262.9336039797447,262.6990747065628,LEC
14,112.10544826143904,109.80519426966501,LEC
15,183.04068681124093,180.6075337606157,LEC
16,253.71062310466039,252.8902441772257,LEC
17,286.3155109323851,287.5964126722078,HUL
18,300.5506414409035,302.8310879389922,HUL
19,306.8629934736842,312.14677818896445,HUL
20,309.677027792,316.4931954333835,HUL
21,152.3887554490773,161.44863718618458,HUL
22,145.7398789720864,132.45500741337992,LEC
23,196.63056036596643,183.09810440262606,LEC
24,233.00245724458497,224.9009174774026,LEC
25,264.4,261.8250005333333,LEC
