Minisector,NOR,PER,Fastest
0,231.86819968288827,232.04827502601452,PER
1,279.0918418872688,281.72839462716047,PER
2,292.14883446349205,296.4624494365609,PER
3,296.7467391536232,303.2883282020704,PER
4,264.0022684425028,267.9776315269704,PER
5,165.62567858604652,165.78581864624633,PER
6,258.80512174806086,261.25928103844797,PER
7,273.23141025641024,277.5118947559242,PER
8,211.87182200702023,203.9917136036063,NOR
9,218.0730972375167,215.55530539916697,NOR
10,180.35035391043436,169.57189965891473,NOR
11,224.58461587631774,224.05277750789506,NOR
12,204.92032892121213,192.88384310307694,NOR
13,212.77749851348912,199.79269266031747,NOR
14,222.6118229862233,207.97651934603053,NOR
15,176.1844968968314,172.44997067829215,NOR
16,253.50333746019447,246.60100498390807,NOR
17,297.87693188124507,284.24975801655785,NOR
18,308.4591096447205,299.096310862793,NOR
19,295.2791982158828,282.8708026173337,NOR
20,132.96667242575887,129.41838146937533,NOR
21,162.53680246564093,158.8875691965808,NOR
22,152.22916131028697,152.8081231967664,PER
23,205.60751481591262,202.90914462222224,NOR
24,148.07808205223557,147.67210054888588,NOR
25,185.46667093333332,,NOR
