Minisector,STR,ZHO,Fastest
0,297.2372303470605,312.47390310520433,ZHO
1,209.34275672454513,196.05563406560847,STR
2,225.11109243956042,223.0385100214343,STR
3,275.33324595070707,279.3513102701631,ZHO
4,242.56484712695251,238.9224985474458,STR
5,129.17466887174336,126.6380814281197,STR
6,215.65743582419756,209.1173288817115,STR
7,260.36811526402346,261.6077527433223,ZHO
8,252.10431497281385,238.58470147415778,STR
9,237.67274647390946,233.30992741217287,STR
10,274.525700429822,272.14516944916494,STR
11,291.64676226449757,287.53846889363433,STR
12,304.06505959619045,300.84647727777354,STR
13,314.1774967906878,313.38952567111164,STR
14,316.7339777134802,313.18819586398723,STR
15,261.4123943449205,254.2685000431746,STR
16,246.96896094126984,240.63818904194378,STR
17,282.3695129662467,281.0703719089916,STR
18,301.2618340092517,304.016266415938,ZHO
19,153.67748910685748,153.01877052203267,STR
20,214.34081016648204,202.12721790828326,STR
21,190.04881638234014,188.6687841274757,STR
22,140.43429446767678,136.42172906968483,STR
23,237.31282635497837,234.67220458738768,STR
24,278.5828581498182,290.2785516706629,ZHO
25,292.04,305.2431545904762,ZHO
