Minisector,BOT,STR,Fastest
0,257.6705217735752,260.7287768101793,STR
1,132.74718074934498,128.24329429115056,BOT
2,263.0421134145893,265.20868301626257,STR
3,303.3173114902327,306.3122363919022,STR
4,302.84174114285713,304.6444170906911,STR
5,309.08636979157575,313.5182978298319,STR
6,315.2905863901235,319.2174383506173,STR
7,316.69283943427456,319.0154661996499,STR
8,205.07385736069347,190.3152124595516,BOT
9,198.11608139537566,192.1065201086656,BOT
10,184.47436734303437,179.86765101122973,BOT
11,167.42925946472192,163.04624736087464,BOT
12,252.37828293414955,253.78785141090725,STR
13,276.2866056894407,282.20168905719026,STR
14,279.43905668253626,280.3508458899433,STR
15,279.18456363614524,271.3780600048781,BOT
16,182.32092719325144,182.33277980275167,STR
17,193.22027229798033,189.7422452870157,BOT
18,241.19366301681043,239.74321366882245,BOT
19,286.23177840865617,287.68207219640345,STR
20,305.8114582761905,311.4854811026224,STR
21,312.12890514957223,318.50146962510365,STR
22,309.83776453192235,317.44315478095234,STR
23,260.64389364343367,250.08236494644572,BOT
24,114.25145466071461,114.32899770920774,STR
25,227.5249984,,BOT
