Minisector,SAI,HAM,Fastest
0,310.85074577403503,311.17453416784315,HAM
1,219.50883152306739,201.2252361876015,SAI
2,142.9441728166616,149.6031949640037,HAM
3,220.58544955767195,224.4362037037037,HAM
4,169.85207429866665,164.6572797373906,SAI
5,172.96615046002887,186.45497270845095,HAM
6,250.76338297512459,254.2132454496203,HAM
7,278.16365123555556,282.4458911259259,HAM
8,288.1060716816931,290.25896103896105,HAM
9,260.3975611629082,265.0612346682883,HAM
10,238.34347853101684,239.4850599038434,HAM
11,243.9640684710686,241.002646,SAI
12,201.42099746489964,199.04950056707602,SAI
13,131.23231544509508,130.2950450874535,SAI
14,134.61697848296296,131.39163008311786,SAI
15,170.77452181281308,177.0869511057095,HAM
16,252.7192892127731,250.69507518796993,SAI
17,253.90418628510213,235.92226826611002,SAI
18,114.34916163062648,114.93133441557902,HAM
19,199.082108158796,202.20163635959304,HAM
20,197.7916962548846,204.9677437603525,HAM
21,237.76516945964588,241.42033388244957,HAM
22,274.88115147089945,269.66546601308727,SAI
23,297.3509484781513,288.23980648761903,SAI
24,314.507068400538,303.39964094039664,SAI
25,320.81000064,,SAI
