Minisector,LEC,OCO,Fastest
0,290.1003676574915,289.10019678557,LEC
1,302.4666483911111,298.67119826729146,LEC
2,304.16116178332686,288.74758493642514,LEC
3,184.91837918745892,182.6150267356229,LEC
4,210.73644658262418,204.0425942458167,LEC
5,198.7903803667652,201.3563350780133,OCO
6,262.5658848297726,258.0733442742857,LEC
7,258.2743251445887,247.83348522733158,LEC
8,204.9127858043443,204.41884415365078,LEC
9,206.7139317239271,203.80993455624883,LEC
10,138.96954296316406,139.12131434416378,OCO
11,199.85164594937703,191.45382663596277,LEC
12,179.30324006784892,176.72348193852665,LEC
13,251.20410973079365,251.21550976870748,OCO
14,173.6138323353792,168.3668284349399,LEC
15,232.72381130662953,228.66757645212527,LEC
16,276.0917228335601,272.69374032,LEC
17,287.6789427884665,280.2893769671265,LEC
18,275.146625104,272.20076763890336,LEC
19,259.9888650941863,254.87598738242423,LEC
20,260.956845551746,252.2660245165981,LEC
21,257.35550285084884,251.55158797925927,LEC
22,228.91898080418116,222.96975409391823,LEC
23,189.20216012257484,190.01372008275865,OCO
24,267.51906562651396,263.9540565425308,LEC
25,,279.3541653333333,OCO
