Minisector,KVY,RIC,Fastest
0,270.5763802486683,266.676782883536,KVY
1,130.5518698025251,137.0726947606997,RIC
2,198.44529013156335,201.03509818324017,RIC
3,246.2715849681681,250.47757994829018,RIC
4,261.31089986845035,261.8020822857143,RIC
5,178.92904218350353,175.8259756744353,KVY
6,146.5190663398858,145.31978797569573,KVY
7,182.62852812571225,181.394138531985,KVY
8,101.6960107736629,103.96147575963906,RIC
9,72.67782985544258,73.50255852075865,RIC
10,92.40005379219099,93.88185241397503,RIC
11,176.88492726394162,178.15481652012247,RIC
12,243.34025560718402,247.89123544931863,RIC
13,268.58829592296667,272.5849418473571,RIC
14,280.23575731569036,285.903409729334,RIC
15,115.5968655403011,126.8343858990338,RIC
16,145.59685023896,129.1607278842943,KVY
17,187.8021130199135,189.11393736136682,RIC
18,195.73895801881693,198.95963737932146,RIC
19,212.12366343451978,219.42237262556375,RIC
20,133.06596047355498,137.0792530644374,RIC
21,109.53627159152451,120.52467105355134,RIC
22,92.32591002469084,88.62963626737755,KVY
23,192.77724728523162,189.34223400847634,KVY
24,249.42976904914127,248.64305154405017,KVY
25,,265.57788097451385,RIC
