Minisector,PIA,LEC,Fastest
0,310.0209625242236,310.7143501654658,LEC
1,240.03435913982923,248.21199267900954,LEC
2,130.28995513843418,135.02347606176048,LEC
3,231.03178681360546,242.68801216678858,LEC
4,193.14546252290194,190.74874493242908,PIA
5,250.12198812380953,255.2014049043117,LEC
6,233.88423646875128,238.64370680412918,LEC
7,258.81795003768985,252.79901778607407,PIA
8,295.57988856238734,292.6334884647619,PIA
9,198.54617597247537,205.6649025423043,LEC
10,204.51210004667408,199.07276312400626,PIA
11,276.0991234871593,277.3375324491228,LEC
12,218.37568466732785,213.54030233357696,PIA
13,255.10585581230302,242.77851394009429,PIA
14,294.69386458882786,292.30095408327094,PIA
15,312.19211518499276,309.4296873104762,PIA
16,312.083682837458,313.25231634276696,LEC
17,205.32576793333465,210.29661879542857,LEC
18,263.4477814493531,260.0886523963593,PIA
19,299.3147245845749,297.1558626759788,PIA
20,313.3263911068783,313.33690022567987,LEC
21,312.7057183238095,316.47431570742856,LEC
22,147.52976872327685,149.1530421621235,LEC
23,234.9692699875329,226.07461872352937,PIA
24,289.12884749150413,288.44770701660815,PIA
25,,303.9,LEC
