Minisector,HUL,NOR,Fastest
0,318.8785716825397,322.4640592253968,NOR
1,324.9902777481482,329.72337973333333,NOR
2,318.7718072322233,328.9749998814815,NOR
3,175.06022882265123,168.37933927432636,HUL
4,137.01320239407409,137.06279942626261,NOR
5,268.5664802029471,271.3157817909307,NOR
6,299.094444647619,301.9206181869151,NOR
7,305.87145840000005,307.3125,NOR
8,262.3879985432381,253.58759280577718,HUL
9,157.25865433456346,150.98807279962085,HUL
10,215.86830319999999,216.05379551678266,NOR
11,229.0187464678648,223.3905613442177,HUL
12,206.39485752303938,196.3691443732602,HUL
13,273.50359265783754,277.0343177076605,NOR
14,304.29101493696146,309.9614884114286,NOR
15,311.05119050158726,316.54120716190477,NOR
16,254.60299977142859,236.61190272451498,HUL
17,214.08910907979413,219.41626089791936,NOR
18,276.7394931478261,282.2804661748918,NOR
19,307.47779817912533,312.69690512,NOR
20,320.3579364910053,323.45288689523807,NOR
21,300.5751169538221,280.4395813818182,HUL
22,210.99730335961866,207.73057565976373,HUL
23,267.2512479885486,276.25000055652174,NOR
24,302.5771476405797,309.6218813409174,NOR
