Minisector,ANT,HAM,Fastest
0,283.4222383085236,290.44648544861286,HAM
1,153.78787376556662,156.15438809498406,HAM
2,165.8208445846184,165.11584412170373,ANT
3,246.96024367171503,236.56044708864468,ANT
4,267.8673684210526,256.92691318883834,ANT
5,245.0464203491364,238.84478670521543,ANT
6,214.88876695511024,213.47249803987705,ANT
7,143.52167826363387,145.33085719251463,HAM
8,227.58339902268398,221.30114631449206,ANT
9,299.32839673377197,294.9947910628572,ANT
10,321.107436033115,317.5132050425368,ANT
11,325.48754167466666,315.9011215755267,ANT
12,317.96399697234295,310.5675502034568,ANT
13,310.8164457825427,305.413601728572,ANT
14,125.367183438346,131.09210915326994,HAM
15,115.74442709599639,120.40868312400991,HAM
16,99.12454581327354,101.57828503453375,HAM
17,239.94448240899473,232.90327859717172,ANT
18,306.15584704903864,299.9242163122922,ANT
19,317.6121522309775,318.7273710782932,HAM
20,314.8109062533333,316.3926535747368,HAM
21,312.5970944296613,313.04969153156964,HAM
22,122.75939297044481,126.5336353455562,HAM
23,205.85184332538415,183.30322440142908,ANT
24,269.99526363659464,269.885820787117,ANT
25,,283.7,HAM
