Minisector,RUS,PER,Fastest
0,296.17906279028693,298.8965482242157,PER
1,252.58047518247156,237.62630010677952,RUS
2,195.02475019163364,192.924106987726,RUS
3,263.83026713513226,263.1673889794255,RUS
4,228.2527479554281,219.2848662512619,RUS
5,108.94196644442847,109.39415515431543,PER
6,159.72105829182055,174.62902343645996,PER
7,254.82545799102715,259.5323203240754,PER
8,287.57470341554136,293.91581443765807,PER
9,303.08630760116944,308.8855529650794,PER
10,309.56447923634164,315.98444044419045,PER
11,217.5144495880807,219.3322508249881,PER
12,139.02270682323186,141.49580578438645,PER
13,251.48741874988005,256.59000126524376,PER
14,288.11225345015873,294.5095216879657,PER
15,300.6711268537566,306.9170756813675,PER
16,299.5430688815264,301.9014583333334,PER
17,259.4610977031332,248.8410336171154,RUS
18,179.17277900728928,178.51314434445365,RUS
19,177.6930536274867,165.38261372833145,RUS
20,178.52903472075408,180.55604601411108,PER
21,247.10812192784422,229.75136855336876,RUS
22,119.74327916313996,117.06827552053504,RUS
23,192.3056288722442,210.0065517268685,PER
24,273.4233972588959,278.4052833164726,PER
25,287.72500096,,RUS
