Minisector,SAI,KVY,Fastest
0,292.73364991643257,287.88104144,SAI
1,297.7955676444444,285.2032306882242,SAI
2,171.94536959898744,164.70053716363637,SAI
3,234.58652511081192,227.2509231924395,SAI
4,276.43605044641197,270.22868863901215,SAI
5,292.54495629473683,286.59627179147867,SAI
6,298.4346509851588,291.1560184888889,SAI
7,167.33817376209032,150.1256908350877,SAI
8,150.3916486739952,143.21508749134355,SAI
9,253.96446766413666,250.27310550303034,SAI
10,281.6648504194737,278.5489923901579,SAI
11,293.3671297777778,289.1932898290344,SAI
12,157.176189566287,147.11193898656296,SAI
13,213.65116834133332,205.59772270926442,SAI
14,265.22741162724833,251.02668465001634,SAI
15,217.4804624303809,203.13519790087983,SAI
16,238.74985921698695,224.96532051345753,SAI
17,235.72057687262156,221.6597499483086,SAI
18,254.6778876342857,250.18012992290247,SAI
19,277.58545684169485,274.431618326187,SAI
20,292.1365672827963,285.54022609625304,SAI
21,274.3416654596491,263.2596434819048,SAI
22,237.98651403948526,224.31374128432228,SAI
23,224.16595629856945,213.04256574405557,SAI
24,271.7151524363636,265.55172611255307,SAI
